"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
12,3,1,0.1,0,5,100,0,0,0,16.9,17,17
15,3,1,0.1,0,5,100,0,0,0,19.9,20,20
0,7,1,0.1,0,5,100,0.558741363135952,0,0.553661751738826,8.77563226217178,8.87563226217178,5
1,7,1,0.1,0,5,100,0.36367568339267,0,0.541344634464546,9.14806780678728,9.78941244125182,6
3,7,1,0.1,0,5,100,0.188960943196685,0,0.547929796031862,10.0917191841274,11.835508572223,8
7,7,1,0.1,0,5,100,0.97437177758797,6.82000264176247,0.497232488475464,17.35600211341,14.1166268909758,12
12,7,1,0.1,0,5,100,0.912642695210599,10.540050365595,0.467603607274102,22.9940222561055,18.1652151777997,17
15,7,1,0.1,0,5,100,0.796540939636664,11.3500219456754,0.411066217307142,25.6914878180832,20.6074591320149,20
0,12,1,0.1,0,5,100,0.609243230551749,0,0.543780377579955,11.4253645309595,11.5253645309595,5
1,12,1,0.1,0,5,100,0.443315116453875,0,0.531010968866051,11.7411206575266,12.3721316263926,6
3,12,1,0.1,0,5,100,0.300536339403226,0,0.529907586912352,12.6691682822112,14.3588910429482,8
7,12,1,0.1,0,5,100,0.129592873421191,0,0.541358516138588,14.6067925806929,18.4963021936631,12
12,12,1,0.1,0,5,100,0.964720751940806,11.3800188135486,0.492579730302089,26.0040150508389,20.6349530009153,17
15,12,1,0.1,0,5,100,0.968250723580846,14.3500256243502,0.494243373208256,29.8972903798554,23.060915353629,20
0,15,1,0.1,0,5,100,0.628473453414125,0,0.540218680060389,13.0032802009058,13.1032802009058,5
1,15,1,0.1,0,5,100,0.472894995649557,0,0.52756536236114,13.285915073056,13.9134804354171,6
3,15,1,0.1,0,5,100,0.340545843977831,0,0.525666193872749,14.207994326473,15.8849929080912,8
7,15,1,0.1,0,5,100,0.18477143624601,0,0.530448123029811,16.1435849842385,19.9567218454472,12
12,15,1,0.1,0,5,100,0.0478971024024083,0,0.562087381418663,18.586262144256,25.43131072128,17
15,15,1,0.1,0,5,100,0.983039503387542,14.8000097948534,0.501478440876055,31.7400078358827,24.5621746541702,20
0,1,0,0.5,0,5,100,0.0516077655826776,0,0.830509175677904,5.3305091756779,5.8305091756779,5
1,1,0,0.5,0,5,100,0,0,0,5.5,6,6
3,1,0,0.5,0,5,100,0,0,0,7.5,8,8
7,1,0,0.5,0,5,100,0,0,0,11.5,12,12
